N,approach,prefix_len,p50_ms,p95_ms,p99_ms,keysExamined,docsExamined,nReturned
1000,i-regex,2,1.786,2.275,3.457,1000,0,0
1000,sensitive,2,0.806,1.318,1.901,1,0,0
1000,i-regex,3,1.783,2.136,2.304,1000,0,0
1000,sensitive,3,0.756,1.001,1.099,1,0,0
1000,i-regex,10,1.829,2.302,2.609,1000,1,1
1000,sensitive,10,0.799,1.069,1.389,2,1,1
10000,i-regex,2,9.933,11.385,12.356,10000,11,11
10000,sensitive,2,0.735,1.064,1.859,12,11,11
10000,i-regex,3,9.803,10.832,11.682,10000,1,1
10000,sensitive,3,0.694,0.927,1.096,2,1,1
10000,i-regex,10,9.855,10.927,11.323,10000,1,1
10000,sensitive,10,0.701,0.859,1.058,2,1,1
100000,i-regex,2,93.709,127.986,143.636,100000,137,137
100000,sensitive,2,1.910,2.972,6.108,138,137,137
100000,i-regex,3,95.063,120.890,132.971,100000,10,10
100000,sensitive,3,0.902,1.458,1.885,11,10,10
100000,i-regex,10,91.417,110.565,119.572,100000,1,1
100000,sensitive,10,0.816,1.118,1.380,2,1,1
